FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL10,NL11,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,PB1,PB2,PB3,PB4,isotopes,adduct,pcgroup,Omic,Polarity
674,393.29115640749933,50.14974784851074,4283491.871910418,3983690.856909473,4957233.1105022635,4254226.097466132,5020422.680835722,4677846.492771803,4889660.644856876,4807261.351005289,4425067.70683789,4249152.109501295,4416143.421260903,4454585.176087482,4973188.30909967,5148199.580270192,3925689.0634765653,5158540.789780354,4404813.737015689,4366897.069287811,5039301.008963456,3509551.6884588073,0,0,0,0,[52][M+2]-,,1,Mx,Negative
675,394.06597363948333,1089.4560546875,0,0,0,0,0,321.8929043368974,0,0,0,0,1016.588367649713,2554.6838701283477,0,0,0,9138.077982611587,671.2728442990235,0,12874.113788815668,0,0,823.4784452187956,577.2116352406118,0,,,863,Mx,Negative
676,394.06595706505647,1115.916259765625,0,0,0,0,0,0,0,0,0,0,0,5850.532276962111,0,0,0,0,1180.7720498207148,0,1193.2172494372671,0,0,8421.913736505492,2781.7311681149545,0,,,673,Mx,Negative
677,394.0656723390017,1133.7942504882812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8132.7550953212385,0,3446.15267927722,12607.78989301352,0,0,,,664,Mx,Negative
678,394.06590638866015,1173.948974609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16492.28550728466,0,1923.5868931200775,0,,,145,Mx,Negative
679,394.293887066686,49.99823760986328,475023.97330784786,453230.0006506906,568665.3390684545,476371.69944403233,553445.971111459,531683.5451929624,557001.975887797,544624.2834867364,500673.978097745,469892.97815535165,496937.11385482596,494341.1570838078,563336.0055847457,571174.012702087,427583.2613158995,576298.4739355649,484931.39415624825,490698.75789456203,563320.9310799801,269377.7688532482,0,0,0,0,[52][M+3]-,,1,Mx,Negative
680,395.0976886568129,310.4221954345703,0,10468.155154086226,13221.669385072199,21424.542121461374,9451.499523429837,15580.895258671802,16044.494959741409,21553.864045831517,11753.290216209503,9103.538280982868,12324.456554445098,7636.407889002261,12405.615619376604,7213.871273786425,0,0,0,0,0,10960.723383628492,0,0,0,0,,,628,Mx,Negative
681,395.2963353208353,49.960205078125,76248.57784679676,62864.88158239653,88898.59714292415,71805.27230553482,0,87400.94482466551,81752.24064996908,76488.29723347678,78410.53374332516,76283.9274004948,76377.2479100372,73763.27124754533,87047.98196315297,0,57177.49836142228,92337.91501193761,77339.27577549483,0,79949.6925959274,49615.61353490285,0,0,0,0,[52][M+4]-,,1,Mx,Negative
682,395.98532705923367,95.80714416503906,9928.955487675687,8336.343000873274,9182.72067640243,7246.180134696185,0,8779.126784449,8979.264315891187,7108.309288840359,7247.21100958707,0,9383.65870963382,8734.541594807948,6227.953838215385,4941.634471095174,12982.861909877045,14270.505115271018,12593.174376240082,10128.170186822332,12506.94413556359,8499.269594142119,0,0,0,0,,,2,Mx,Negative
683,397.10744269447775,291.1156768798828,0,9795.376964282683,9488.207547021142,0,9621.306200407373,12963.578173227292,12908.349638500778,14449.827371726424,13017.116436542821,0,8983.426432202341,0,8971.69676503422,0,0,0,0,0,0,10116.469517604386,0,0,0,0,,[M-2H+Na]- 376.133,96,Mx,Negative
684,397.9829385418476,95.67815780639648,7695.016381048402,6750.6314012249895,7380.214174181718,6223.933484252411,6719.53637261429,6981.3114064038455,6602.417798266904,6267.901155764971,6852.6416527653055,8496.557304349042,7150.573954933212,7340.450331875939,5384.670074944613,5697.60798730558,10399.489027099595,10956.71124545135,10500.49560145903,11367.358704638074,10328.62776082068,5676.170323726459,0,0,0,0,,,2,Mx,Negative
685,398.0229220632115,439.7301940917969,8251.623237485062,0,3708.873395926288,6460.484770904061,11251.314464655246,6761.3274049728925,13079.466994593651,10767.256785399668,12747.632672349002,0,0,12788.886821560793,5146.177011910751,0,6611.573560492009,9091.010188543802,5171.116292548994,5497.873451654529,6912.953125111041,15201.803499107178,0,0,0,0,,,361,Mx,Negative
686,398.0917085112356,120.75301742553711,22307.210844817222,24965.372901446688,32877.05006315664,27860.27277203146,23832.6758195552,36488.605877753485,30493.939844431086,34707.694984465954,34676.2651637564,25498.864694575448,29472.54975360298,22885.318280831696,30415.309549026562,23452.69590415224,20922.380165881368,25729.827871933026,22370.505217789454,18377.887147920566,20253.135571541934,26893.466691642196,0,0,0,0,,[M-2H+Na]- 377.117,46,Mx,Negative
687,402.0368806775508,343.5199890136719,3883.1423567430274,2810.3433869911805,0,3064.877527569369,5561.848244827447,3731.1716556280035,5265.155022276922,4782.66660707836,4521.542912135105,5179.230226781675,5386.400296816867,4055.80064018894,0,0,4852.378064314038,6457.200232992609,3699.787196072695,3471.013344040841,5176.858215629793,4011.3540013975194,0,0,0,0,,,5,Mx,Negative
688,402.99943728170115,344.8789978027344,6737.945407889636,7347.940465477266,5482.798402154231,7095.73966947924,8407.725200979192,7756.28067908943,9697.741721181288,11267.113480469023,8816.203468531729,7552.167651642845,8288.37446023175,7774.338091231762,7008.419589735971,5192.18581852309,5448.500844691948,6810.317985747705,5522.668809927752,5359.215737976745,5775.781171117718,7757.152733522431,0,0,0,0,,,5,Mx,Negative
689,402.9942533759051,478.1468200683594,21499.404210957557,7806.96473168846,10266.142376640619,18031.506960613686,19481.936329615277,13185.187133353053,22268.156106409402,15389.668929009837,22799.120115872047,19979.2313274113,25860.18945684694,34086.838628920676,7015.065355984603,0,18179.239708837387,24168.18539682529,20286.83369034046,13376.105637439388,19812.199997432333,23698.824101366776,0,0,0,0,,,115,Mx,Negative
690,403.15671499038217,180.7350845336914,0,6226.698799769451,11808.761953787374,6964.568317360146,5667.735867990166,8542.93719004928,11920.397141910105,13154.655459414455,12563.657867643491,0,5875.656733472587,4201.8077059957905,10720.83228752631,9480.013361152169,0,0,0,0,9313.870218847074,7546.85219726459,0,0,0,0,,,3,Mx,Negative
691,403.8317563185527,500.74241638183594,98896.07853697806,99708.56026167629,101774.14930669573,100202.61011570542,79627.23210033831,94445.91716031868,96339.94605110533,116840.20263519883,126931.91136877876,91541.41627443269,93565.07461732859,111302.8244727434,99855.52948862009,93077.41800315413,91547.07928705464,115040.87857506982,113530.04843335382,120550.52603622973,98299.47305277942,102539.03934607113,0,0,0,0,,,7,Mx,Negative
692,403.8315070949602,615.9775695800781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105601.86002916547,91082.85498478096,,,395,Mx,Negative
693,405.13612611834037,304.52200000002,13382.432928380525,11112.174515747294,11743.820341126253,9788.319179070008,10761.986293589824,12360.427478198179,11877.267736581047,14224.041815052096,14060.869701116151,6302.360808457262,8146.681683891575,7655.541337867511,7229.372993858384,0,0,9461.579100303663,0,0,0,7723.533338310074,0,0,0,0,,,101,Mx,Negative
694,405.13603597545455,280.08648681640625,0,14013.13175115621,17765.941307516132,12917.23278355011,11070.299414054918,21517.171459682733,22439.230118874697,26285.461664232065,23611.418030352856,8230.204490604963,12197.961092270973,8356.357177470081,14730.517333523307,0,0,0,0,0,7773.244899518384,10403.843859170789,0,0,0,0,,,817,Mx,Negative
695,405.26414438630206,78.01792526245117,65883.12243209766,70666.45159401765,76665.52674114356,0,81927.91300996006,76172.90187801875,0,69335.10676997062,68671.24158735746,57971.27891288941,73368.75333585321,65325.374595952766,83961.59877660341,84215.10433674156,58174.195410073604,75732.24655042509,71231.69071081775,64124.76421011894,76744.92343971113,51950.65666685872,0,0,0,0,,,4,Mx,Negative
696,405.2638253792703,50.48687171936035,53512.65131991795,59020.518003209305,67338.85753766532,51232.68394936817,69286.37864851714,61820.31369933796,62845.169109434246,71071.12407187531,62353.545558949845,55305.2758910609,0,61152.27028064554,65063.10614295721,65939.40032954447,50942.995784389,0,0,55232.88920457133,66594.72432157128,0,0,0,0,0,,,205,Mx,Negative
697,406.00050188288856,85.186065673828125,13002.226347019532,0,15351.968699832712,14129.276593856674,14635.306236536522,15344.759290520404,0,14053.029386528102,13818.620921621157,11553.248971857347,0,0,16035.998208556295,16471.75549149568,0,0,14984.765314342996,14035.573308796045,14717.023929794907,0,0,0,0,0,,,278,Mx,Negative
698,407.28090684708354,85.56892395019531,2624720.616537718,2753539.2681585234,2923147.4533215687,2931581.215164846,4421153.153952608,2894898.521672467,2766520.7413504636,2827493.76902684,2618927.2028967985,2357835.1836794238,2787043.6216264553,2559144.5607611793,3114510.251971106,3401342.559109565,2297263.486493531,2701377.963249493,2842088.6386010684,2604997.441272987,2962902.485732751,1925231.7580642123,0,0,0,0,[54][M]-,,282,Mx,Negative
699,407.2801433641459,51.00909233093262,1009767.8035440291,0,1068404.2614470213,1054138.279586527,0,959941.7334047975,0,1148371.8199511108,1045535.5738283452,928872.5781560185,0,0,1027704.5094981468,974769.1407254585,0,982022.2198915778,1144125.2769176748,0,1062635.7637419445,0,0,0,0,0,[55][M]-,,1,Mx,Negative
700,408.01648564832635,1448.833251953125,0,13581.983005164207,1077.723314871375,0,795.6052880981823,0,0,8974.957233720977,658.2400818601169,1330.6574794838446,0,471.9274053545077,0,0,3639.9200132405836,0,0,7244.336239873718,943.976225217654,2653.4233720483694,0,6065.700806695335,6390.249859480153,0,,,862,Mx,Negative
701,408.0167861093385,1418.92626953125,0,1930.0582971939702,7189.385351076096,0,8239.296880788828,7690.469815492215,0,709.391837279295,540.6916144407254,1654.7291846742576,6149.880312435024,1776.1096397152228,0,0,6617.711832409225,0,0,8859.85412682852,7315.020248038181,1142.150540588801,0,4408.63362356201,0,0,,,844,Mx,Negative
