FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
545,410.326406,2.03,Positive,0,2025670,2066452,2158311,1620013,1681937,2209041,2082936,2303255,1770038,2235794,1358698,2229049,1774763,1659927,2268882,2181673,1682069,2279647,1660275
544,410.326719,0.83,Positive,21259946,0,24916504,18656245,23588411,15413347,18540536,17558895,27296457,16332654,26886018,10600375,15596358,24842221,23940615,26752519,26238164,10907488,25987206,16860808
552,411.182041,3.21,Positive,23640,12745,16285,13354,0,16616,11850,0,12420,14020,14106,23625,17139,16369,11621,11823,13186,19152,12525,12225
555,411.328212,5.24,Positive,0,0,0,24363,0,0,0,33545,0,0,0,0,0,0,0,0,55812,0,0,25763
556,411.328511,3.51,Positive,0,0,0,0,0,0,0,0,47296,68624,0,0,94707,99726,70915,0,0,0,0,0
554,411.329128,2.03,Positive,33923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,411.330398,0.83,Positive,5835812,0,6433228,0,6022652,0,0,4582730,0,4311355,6935502,0,4033529,0,6216930,0,0,0,0,4445594
557,412.332492,0.82,Positive,675500,0,767029,0,418544,0,0,0,0,515304,796388,0,499988,0,734397,0,0,0,0,528496
558,413.333669,0.83,Positive,76622,0,82215,63747,77390,48918,54526,57058,67600,50981,63675,37182,47244,81136,75648,90828,84596,38813,81781,57141
559,414.059316,5.73,Positive,183749,133341,134971,131247,205354,135404,127574,121492,127269,132631,131546,208829,133099,135761,134958,146256,145204,198552,145247,124063
560,414.214081,0.72,Positive,0,0,13917,0,0,0,0,12420,0,0,0,0,0,0,0,0,0,0,0,0
561,414.895257,5.37,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2594,0,0,0,0,0
562,414.953819,5.77,Positive,5322,4629,3952,4992,0,0,4095,0,0,5495,4591,5045,4021,3984,5045,4380,4692,5555,4845,2668
564,415.280334,2.94,Positive,23821,40675,40033,44738,0,29951,47648,37008,48249,40770,41116,27962,42869,44039,40765,56163,53136,28690,45223,30632
566,415.280462,2.03,Positive,0,151501,154538,174591,0,112047,0,158815,205090,0,169332,0,150544,0,0,153826,144767,0,122429,121695
565,415.281259,0.84,Positive,1626406,0,1803527,1054186,791854,768461,1508294,987593,1684409,1712554,1163876,1678507,865242,2146221,1357186,1267724,2252162,850159,1180594,1281217
567,416.056665,5.74,Positive,16154,12067,11750,11944,18846,11274,11131,8580,10663,9979,12321,17711,11505,12029,10959,13261,12332,15687,11569,10445
568,416.195642,5.07,Positive,8758,18804,16712,17917,14988,20535,27097,25218,24731,21242,22643,12385,22085,11255,0,7430,0,0,0,29012
569,416.283293,2.94,Positive,0,0,0,0,14809,0,0,0,0,0,0,7489,0,0,0,0,0,0,0,0
570,416.284249,0.83,Positive,0,0,0,0,0,0,167628,0,0,210455,0,0,0,0,0,0,0,0,0,0
571,417.286261,0.83,Positive,31039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73955,0,0,0,0
573,419.16207,5.13,Positive,413560,340229,390021,348661,210732,432246,425091,461554,460702,334990,361410,501675,417926,311455,87277,244359,201312,151964,219344,394051
574,419.988533,2.93,Positive,0,0,8964,9011,0,0,7331,7225,7924,9214,0,8685,8046,9189,10456,10739,0,9954,9898,7532
575,420.163492,5.13,Positive,0,0,0,0,87968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,421.159702,5.13,Positive,32466,27923,30812,28249,45093,34370,34456,35564,35706,27258,29070,41144,34061,24769,6501,20187,17189,11750,17679,31624
577,421.317199,0.7,Positive,58094,0,0,0,0,65646,75121,60927,60702,70385,94487,0,0,0,0,75432,60987,61992,0,61538
578,422.319996,0.7,Positive,0,0,0,0,10554,0,0,0,0,21557,0,0,0,0,0,20543,0,16656,15927,0
580,424.303907,0.87,Positive,0,0,0,20666,18695,18176,0,17837,0,19570,0,0,15806,0,13787,0,18971,0,18781,17064
579,424.304139,1.3,Positive,38466,66842,48545,46366,37981,0,40300,40345,41463,42570,58153,59642,45378,45909,37910,49614,45090,0,41592,31305
581,425.001399,1.44,Positive,11752,0,11289,16271,0,0,16313,13408,6995,11717,12312,0,14526,13503,11341,13122,14813,8504,14128,10228
583,426.320459,0.86,Positive,806298,0,0,985111,822331,0,0,0,0,883382,0,776801,0,876156,808904,797804,856884,0,873093,0
582,426.321582,1.45,Positive,2847304,4053851,3941796,3510334,2431458,3760308,3801829,3553486,3691420,2853301,3821066,2641295,3217737,3374247,2836212,3306846,3548185,2936918,3348085,2418366
587,428.03292,10.95,Positive,0,21375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,428.033807,8.32,Positive,116601,112271,75837,84802,0,85797,128238,128910,122938,107124,129375,0,86778,83631,71147,104572,114034,95246,90248,114254
588,428.326849,1.44,Positive,0,0,106884,107884,0,115958,0,89653,94190,0,113027,0,99354,103945,85729,100789,109564,84326,0,69981
590,429.109717,7.9,Positive,21446,25915,21909,33968,70552,23782,47703,48240,33626,38453,27279,14998,19840,10453,16571,24906,16486,9361,15803,32161
592,429.327568,1.44,Positive,11612,12984,13993,13121,0,0,10672,0,12216,0,13897,10853,11645,12540,11375,12266,13860,10462,14216,0
594,430.869994,5.36,Positive,11809,29026,26266,26289,31999,42200,78173,101096,62882,29693,37479,20040,35744,0,0,17257,0,0,4551,48563
595,431.253648,5.4,Positive,12581,13688,12660,15213,15962,10824,0,0,19105,13273,17915,14055,14181,10571,12881,0,14199,11842,14189,11943
596,431.25608,0.95,Positive,1007454,1469173,1426025,1895970,614192,753416,953053,818578,1619188,1015950,1600212,1389184,1573253,1992327,1636621,2028545,2071893,1749866,1928756,1036390
597,431.272274,1.41,Positive,90498,0,0,98909,0,69482,82026,64416,47142,91245,65877,66873,68940,99387,84808,82845,89705,98577,77335,54969
598,431.662747,5.71,Positive,6981,6285,6191,7151,6868,0,7492,5849,6426,0,7783,6134,4856,5974,6650,8143,6772,6215,6523,6595
599,432.258942,0.86,Positive,0,0,185844,0,0,0,0,322112,0,360136,0,0,170819,0,216459,0,0,0,214319,0
600,432.275807,1.4,Positive,0,20619,0,0,0,0,0,0,17025,0,0,0,0,0,0,0,0,0,0,15577
601,432.867241,5.36,Positive,0,11107,0,0,10936,13183,26635,33285,20589,11503,12978,8366,12097,0,0,0,0,0,0,16608
603,433.25549,0.85,Positive,135459,139773,133142,146167,57201,65074,75119,70205,127041,140930,81481,120011,64088,148475,84867,157242,166497,85526,84521,83697
604,433.328954,0.71,Positive,3651,0,0,3233,2615,0,3836,0,3451,2944,4655,3377,0,0,0,2321,0,0,3429,3596
606,434.1603,5.54,Positive,0,3753,5890,5249,5971,5815,4900,4179,4529,4593,4410,3946,7239,5518,0,0,0,0,0,5188
607,434.196537,10.86,Positive,53307,67026,62926,79689,123853,83902,113294,126550,128369,49817,53412,44511,47646,23366,19271,32248,23685,17466,18516,60624
608,434.256734,0.87,Positive,18580,14546,0,18298,0,0,30145,0,0,0,32491,0,0,0,0,0,0,30599,32870,0
609,434.311916,0.71,Positive,86284,0,46971,68162,63369,60450,73989,0,51338,73318,95361,85798,0,0,67446,67468,81077,108164,0,84609
